"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Joe Biden","Nikki Haley","Gavin Newsom","Robert F. Kennedy Jr.","Ron DeSantis","Vivek Ramaswamy","Chris Christie","Elizabeth Warren","Bernie Sanders","AOC","Other Democrat Politician","Other Republican Politician","Kanye","Michelle Obama","Hillary Clinton"
"08-07-2024 14:00","1723039202","0.515","0.4665","0.0005","0.0015","0.0005","0.005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.003","0.0045","0.0005","0.012","0.0025"
"08-07-2024 15:00","1723042802","0.505","0.471","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0045","0.0005","0.0125","0.0025"
"08-07-2024 16:00","1723046402","0.505","0.4765","0.0005","0.0015","0.001","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.004","0.0005","0.0115","0.0025"
"08-07-2024 17:00","1723050002","0.505","0.4765","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.0115","0.0025"
"08-07-2024 18:00","1723053601","0.505","0.4745","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.0115","0.0025"
"08-07-2024 19:00","1723057201","0.505","0.478","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.004","0.0005","0.0115","0.002"
"08-07-2024 20:00","1723060801","0.505","0.478","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.0115","0.0015"
"08-07-2024 21:00","1723064401","0.505","0.477","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0045","0.0005","0.0115","0.0015"
"08-07-2024 22:00","1723068002","0.505","0.477","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0045","0.0005","0.0115","0.0015"
"08-07-2024 23:00","1723071602","0.495","0.4825","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0045","0.0005","0.0115","0.0015"
"08-08-2024 00:00","1723075201","0.485","0.4915","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0045","0.0005","0.0115","0.0015"
"08-08-2024 01:00","1723078801","0.485","0.4915","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.0115","0.0015"
"08-08-2024 02:00","1723082401","0.495","0.487","0.0005","0.0025","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0025","0.0035","0.0005","0.011","0.0015"
"08-08-2024 03:00","1723086001","0.495","0.4875","0.0005","0.0025","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0025","0.0035","0.0005","0.0105","0.0015"
"08-08-2024 04:00","1723089601","0.49","0.4855","0.0005","0.0025","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0025","0.0035","0.0005","0.0105","0.0015"
